epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8999047875404358,9.999999747378752e-05,0.250558465719223,0.9528889060020447,0.14344868063926697
1,0.9466666579246521,9.999999747378752e-05,0.13993804156780243,0.9413333535194397,0.16949562728405
2,0.9602857232093811,9.999999747378752e-05,0.09854841232299805,0.9755555391311646,0.06131287291646004
3,0.9668571352958679,9.999999747378752e-05,0.09345737099647522,0.948888897895813,0.11549220234155655
4,0.9730476140975952,9.999999747378752e-05,0.07534589618444443,0.9751111268997192,0.0628625750541687
5,0.9735237956047058,9.999999747378752e-05,0.06882106512784958,0.9924444556236267,0.02750183828175068
6,0.9750476479530334,9.999999747378752e-05,0.0700516328215599,0.9879999756813049,0.032699454575777054
7,0.9842857122421265,9.999999747378752e-05,0.04628612846136093,0.9800000190734863,0.04837160184979439
8,0.9848571419715881,9.999999747378752e-05,0.04205838590860367,0.995555579662323,0.02482309192419052
9,0.9903809428215027,9.999999747378752e-05,0.029675016179680824,0.988444447517395,0.02986186370253563
10,0.9860000014305115,9.999999747378752e-05,0.04254820942878723,0.9804444313049316,0.04315737634897232
11,0.9921904802322388,9.999999747378752e-05,0.021555660292506218,0.9853333234786987,0.037336189299821854
12,0.9981904625892639,9.999999747378752e-06,0.005559985060244799,0.9991111159324646,0.0027554896660149097
13,0.9995238184928894,9.999999747378752e-06,0.0025466454681009054,0.9995555281639099,0.0016488272231072187
14,0.9986666440963745,9.999999747378752e-06,0.003995909355580807,0.9995555281639099,0.0015970354434102774
15,0.9993333220481873,9.999999747378752e-06,0.0020547627937048674,1.0,0.0003893842804245651
16,0.9991428852081299,9.999999747378752e-06,0.0018611806444823742,1.0,0.0014358287444338202
17,0.9993333220481873,9.999999747378752e-06,0.0018136288272216916,0.9995555281639099,0.000792323553469032
18,0.9998095035552979,9.999999747378752e-06,0.0007002489874139428,1.0,0.0002219621674157679
19,0.9991428852081299,9.999999747378752e-06,0.002805675845593214,1.0,0.0006364893051795661
